trial_id,fault_id,fault_injected_at_s,service_restored_at_s,first_success_after_restore_at_s,recovered,crashed,notes
RT11-1,RT-11,1786202948.256,1786202949.838,1786202978.466,true,false,"Port 3101 pre-occupied before midware start. Startup failed as designed (no hang; process exited, timeout 6s not hit). However the failure surfaces as a ~35-line raw unhandled traceback (multiple repeated FastAPI/Starlette lifespan frames) with the actionable message (RuntimeError: Unable to bind telemetry UDP 0.0.0.0:3101: [Errno 98] Address already in use) buried at the very bottom rather than surfaced as a clean top-level error. Does not meet the protocol's 'specific and actionable, not a bare stack trace' bar. After freeing the port, a normal restart succeeded cleanly (health 200 within 3s)."
RT11-2,RT-11,1786203071.578,1786203073.161,1786203100.325,true,false,"Same pattern as RT11-1: startup failed cleanly (rc=3, no hang), actionable RuntimeError present but buried under raw traceback. Restart after clearing succeeded, health=200."
RT11-3,RT-11,1786203123.453,1786203125.052,1786203134.923,true,false,"Same pattern as RT11-1: startup failed cleanly (rc=3, no hang), actionable RuntimeError present but buried under raw traceback. Restart after clearing succeeded, health=200."
RT11-4,RT-11,1786203154.391,1786203155.974,1786203165.760,true,false,"Same pattern as RT11-1: startup failed cleanly (rc=3, no hang), actionable RuntimeError present but buried under raw traceback. Restart after clearing succeeded, health=200."
RT11-5,RT-11,1786203180.948,1786203182.560,1786203195.188,true,false,"Same pattern as RT11-1: startup failed cleanly (rc=3, no hang), actionable RuntimeError present but buried under raw traceback. Restart after clearing succeeded, health=200."
RT07-1,RT-07,1786203281.248,,,true,false,"Pushed malformed telemetry via /api/telemetry/push (payload #1: speedX=""NaN"" string, which Python's float() parses as a real NaN). push_http=200, but /api/health then returned 500 with an unhandled ValueError (Out of range float values are not JSON compliant: nan) -- Starlette's JSONResponse rejects NaN/Infinity by default, and the stored telemetry state was never validated before being pushed. Confirmed via a standalone probe: /api/health kept returning 500 on 4 repeated calls with NO further push in between -- this is a PERSISTENT poisoned-state bug, not a one-off transient error. It only cleared once a fresh telemetry frame with valid numeric fields was pushed; there is no self-healing. Process itself never crashed/exited (crashed=false) but /api/health -- a liveness endpoint -- reported the service unhealthy indefinitely until manually overwritten. Real defect, not fixed yet."
RT07-2,RT-07,1786203281.773,,,true,false,"Pushed malformed telemetry via /api/telemetry/push (payload #2: {""telemetry"": {""sim_time"": null, ""lap"": ""abc"", ""speedX"": 99999999.9, ""damage"": -1}, ""rankings"": []}). push_http=200, health_after=200, new_unhandled_traceback_lines=0."
RT07-3,RT-07,1786203282.275,,,true,false,"Pushed malformed telemetry via /api/telemetry/push (payload #3: {""telemetry"": {}, ""rankings"": []}). push_http=200, health_after=200, new_unhandled_traceback_lines=0."
RT07-4,RT-07,1786203282.777,,,true,false,"Pushed malformed telemetry via /api/telemetry/push (payload #4: speedX=""Infinity"" string -> float('inf'), and rankings=""not-a-list"" -- a plain string instead of a list of dicts). Two distinct unhandled exceptions: (1) the push call itself returned 500 -- telemetry.py's `[dict(item) for item in rankings]` iterates the string's characters and fails with ValueError: dictionary update sequence element #0 has length 1; 2 is required; (2) the following /api/health call also 500'd with ValueError: Out of range float values are not JSON compliant: inf -- same persistent-poisoning mechanism as RT07-1. Neither /api/telemetry/push nor the stored-state read path validates field types/ranges before accepting or serializing them. Process survived (crashed=false) but both the write and the unrelated read endpoint failed. Real defect, not fixed yet."
RT07-5,RT-07,1786203283.282,,,true,false,"Pushed malformed telemetry via /api/telemetry/push (payload #5: {""telemetry"": {""sim_time"": -5.0, ""racePos"": -3, ""gear"": 999, ""fuel"": ""full""}, ""rankings"": []}). push_http=200, health_after=200, new_unhandled_traceback_lines=0."
RT01-1,RT-01,1786204399.331,,,false,false,"base_url repointed to dead endpoint http://127.0.0.1:1/v1. commentary trigger POST=200. Model-call outcome observed in log: yes ('2026-08-08 16:53:23,514 [INFO] model_request request_id=c0f4a03c-d0df-4657-9f6c-8369f002da96 feature=commentary task=commentary_baseline wait_s=0.000 execution_s=1.988 status=error'). health during fault=200."
RT02-1,RT-02,1786204403.630,1786204403.630,1786204404.539,true,false,"base_url restored to http://172.22.96.1:1234/v1 without restarting midware. commentary trigger POST=200. Model-call outcome: yes ('2026-08-08 16:53:24,510 [INFO] model_request request_id=2b385588-597a-4049-9190-15ef29d82941 feature=commentary task=commentary_baseline wait_s=0.000 execution_s=0.873 status=ok'). health after=200. No midware restart performed."
RT01-2,RT-01,1786204405.540,,,false,false,"base_url repointed to dead endpoint http://127.0.0.1:1/v1. commentary trigger POST=200. Model-call outcome observed in log: yes ('2026-08-08 16:53:27,512 [INFO] model_request request_id=9c7c39a2-4e8a-4d58-b466-d1840927b045 feature=commentary task=commentary_baseline wait_s=0.000 execution_s=1.970 status=error'). health during fault=200."
RT02-2,RT-02,1786204407.646,1786204407.646,1786204408.550,true,false,"base_url restored to http://172.22.96.1:1234/v1 without restarting midware. commentary trigger POST=200. Model-call outcome: yes ('2026-08-08 16:53:28,254 [INFO] model_request request_id=4fe979af-4258-46da-9b41-62c6d006a5a3 feature=commentary task=commentary_baseline wait_s=0.000 execution_s=0.605 status=ok'). health after=200. No midware restart performed."
RT01-3,RT-01,1786204409.551,,,false,false,"base_url repointed to dead endpoint http://127.0.0.1:1/v1. commentary trigger POST=200. Model-call outcome observed in log: yes ('2026-08-08 16:53:31,522 [INFO] model_request request_id=ee3af8da-0049-4bac-868c-b4c65ff80743 feature=commentary task=commentary_baseline wait_s=0.000 execution_s=1.969 status=error'). health during fault=200."
RT02-3,RT-02,1786204411.656,1786204411.656,1786204412.560,true,false,"base_url restored to http://172.22.96.1:1234/v1 without restarting midware. commentary trigger POST=200. Model-call outcome: yes ('2026-08-08 16:53:32,293 [INFO] model_request request_id=99c6aca0-95c4-48e8-808a-90681ccde983 feature=commentary task=commentary_baseline wait_s=0.000 execution_s=0.635 status=ok'). health after=200. No midware restart performed."
RT01-4,RT-01,1786204413.561,,,false,false,"base_url repointed to dead endpoint http://127.0.0.1:1/v1. commentary trigger POST=200. Model-call outcome observed in log: yes ('2026-08-08 16:53:35,536 [INFO] model_request request_id=f1e50e23-907a-441e-9bbb-e22f25db3e6f feature=commentary task=commentary_baseline wait_s=0.000 execution_s=1.972 status=error'). health during fault=200."
RT02-4,RT-02,1786204415.668,1786204415.668,1786204416.572,true,false,"base_url restored to http://172.22.96.1:1234/v1 without restarting midware. commentary trigger POST=200. Model-call outcome: yes ('2026-08-08 16:53:36,316 [INFO] model_request request_id=ebb1f356-66e8-40b1-9d30-3db77a7bf9ac feature=commentary task=commentary_baseline wait_s=0.000 execution_s=0.645 status=ok'). health after=200. No midware restart performed."
RT01-5,RT-01,1786204417.573,,,false,false,"base_url repointed to dead endpoint http://127.0.0.1:1/v1. commentary trigger POST=200. Model-call outcome observed in log: yes ('2026-08-08 16:53:39,546 [INFO] model_request request_id=77828361-d04b-446d-b69c-bff63e3ce701 feature=commentary task=commentary_baseline wait_s=0.000 execution_s=1.970 status=error'). health during fault=200."
RT02-5,RT-02,1786204419.679,1786204419.679,1786204420.583,true,false,"base_url restored to http://172.22.96.1:1234/v1 without restarting midware. commentary trigger POST=200. Model-call outcome: yes ('2026-08-08 16:53:40,484 [INFO] model_request request_id=d98c9490-220c-4e2a-ab4b-d7c36175f22e feature=commentary task=commentary_baseline wait_s=0.000 execution_s=0.802 status=ok'). health after=200. No midware restart performed."
RT05-1,RT-05,1786204472.621,,,false,false,"SYNTHETIC interruption (no real TORCS process was running to kill; simulated by simply not calling /api/telemetry/push for 5.0s, which exceeds stale_after_seconds=3.0). is_stale correctly flipped to True (reason: 'No telemetry packets received recently.'). Confirmed no new commentary events were invented during the silence: events_before=0, events_during=0, no_new_events=True."
RT06-1,RT-06,1786204477.623,1786204477.623,1786204478.127,true,false,"Resumed telemetry via a single /api/telemetry/push call, no midware restart. is_stale flipped back to False (0.502s since last frame)."
RT05-2,RT-05,1786204479.129,,,false,false,"SYNTHETIC interruption (no real TORCS process was running to kill; simulated by simply not calling /api/telemetry/push for 5.0s, which exceeds stale_after_seconds=3.0). is_stale correctly flipped to True (reason: 'No telemetry packets received recently.'). Confirmed no new commentary events were invented during the silence: events_before=1, events_during=1, no_new_events=True."
RT06-2,RT-06,1786204484.131,1786204484.131,1786204484.632,true,false,"Resumed telemetry via a single /api/telemetry/push call, no midware restart. is_stale flipped back to False (0.501s since last frame)."
RT05-3,RT-05,1786204485.634,,,false,false,"SYNTHETIC interruption (no real TORCS process was running to kill; simulated by simply not calling /api/telemetry/push for 5.0s, which exceeds stale_after_seconds=3.0). is_stale correctly flipped to True (reason: 'No telemetry packets received recently.'). Confirmed no new commentary events were invented during the silence: events_before=2, events_during=2, no_new_events=True."
RT06-3,RT-06,1786204490.636,1786204490.636,1786204491.138,true,false,"Resumed telemetry via a single /api/telemetry/push call, no midware restart. is_stale flipped back to False (0.501s since last frame)."
RT05-4,RT-05,1786204492.139,,,false,false,"SYNTHETIC interruption (no real TORCS process was running to kill; simulated by simply not calling /api/telemetry/push for 5.0s, which exceeds stale_after_seconds=3.0). is_stale correctly flipped to True (reason: 'No telemetry packets received recently.'). Confirmed no new commentary events were invented during the silence: events_before=3, events_during=3, no_new_events=True."
RT06-4,RT-06,1786204497.142,1786204497.142,1786204497.644,true,false,"Resumed telemetry via a single /api/telemetry/push call, no midware restart. is_stale flipped back to False (0.501s since last frame)."
RT05-5,RT-05,1786204498.646,,,false,false,"SYNTHETIC interruption (no real TORCS process was running to kill; simulated by simply not calling /api/telemetry/push for 5.0s, which exceeds stale_after_seconds=3.0). is_stale correctly flipped to True (reason: 'No telemetry packets received recently.'). Confirmed no new commentary events were invented during the silence: events_before=4, events_during=4, no_new_events=True."
RT06-5,RT-06,1786204505.779,1786204505.779,1786204506.281,true,false,"Resumed telemetry via a single /api/telemetry/push call, no midware restart. is_stale flipped back to False (0.501s since last frame)."
RT04-1,RT-04,1786204533.581,1786204533.581,1786204534.519,true,false,"Reconnected a fresh WebSocket client and triggered a new event. Received ai_start=True, ai_done=True on the new client without any manual reset."
RT04-2,RT-04,1786204536.326,1786204536.326,1786204539.611,true,false,"Reconnected a fresh WebSocket client and triggered a new event. Received ai_start=True, ai_done=True on the new client without any manual reset."
RT04-3,RT-04,1786204541.418,1786204541.418,1786204542.130,true,false,"Reconnected a fresh WebSocket client and triggered a new event. Received ai_start=True, ai_done=True on the new client without any manual reset."
RT04-4,RT-04,1786204543.937,1786204543.937,1786204545.021,true,false,"Reconnected a fresh WebSocket client and triggered a new event. Received ai_start=True, ai_done=True on the new client without any manual reset."
RT04-5,RT-04,1786204546.829,1786204546.829,1786204547.718,true,false,"Reconnected a fresh WebSocket client and triggered a new event. Received ai_start=True, ai_done=True on the new client without any manual reset."
RT03-1,RT-03,1786204591.256,,,false,false,"Connected then abruptly closed a WebSocket client (proxy for closing the dashboard tab). overlay.ws_clients before=0, while connected=1, after close=0. GET /api/health HTTP status after disconnect=200 (this is the crash signal per protocol -- the aggregate 'ok' JSON field also reflects unrelated telemetry staleness and is not used here)."
RT03-2,RT-03,1786204593.062,,,false,false,"Connected then abruptly closed a WebSocket client (proxy for closing the dashboard tab). overlay.ws_clients before=0, while connected=1, after close=0. GET /api/health HTTP status after disconnect=200 (this is the crash signal per protocol -- the aggregate 'ok' JSON field also reflects unrelated telemetry staleness and is not used here)."
RT03-3,RT-03,1786204594.867,,,false,false,"Connected then abruptly closed a WebSocket client (proxy for closing the dashboard tab). overlay.ws_clients before=0, while connected=1, after close=0. GET /api/health HTTP status after disconnect=200 (this is the crash signal per protocol -- the aggregate 'ok' JSON field also reflects unrelated telemetry staleness and is not used here)."
RT03-4,RT-03,1786204596.673,,,false,false,"Connected then abruptly closed a WebSocket client (proxy for closing the dashboard tab). overlay.ws_clients before=0, while connected=1, after close=0. GET /api/health HTTP status after disconnect=200 (this is the crash signal per protocol -- the aggregate 'ok' JSON field also reflects unrelated telemetry staleness and is not used here)."
RT03-5,RT-03,1786204598.480,,,false,false,"Connected then abruptly closed a WebSocket client (proxy for closing the dashboard tab). overlay.ws_clients before=0, while connected=1, after close=0. GET /api/health HTTP status after disconnect=200 (this is the crash signal per protocol -- the aggregate 'ok' JSON field also reflects unrelated telemetry staleness and is not used here)."
RT08-1,RT-08,1786204625.511,,,true,false,"Pushed the identical telemetry frame (sim_time=701.0) 5 times in a row via /api/telemetry/push. Counted non-duplicate, non-empty ai_done messages delivered on a live WebSocket listener over the following 6s: 1 (expected <=1 -- the same underlying event should not re-fire/re-display once already reported and cooled down). health after=200:200."
RT08-2,RT-08,1786204634.806,,,true,false,"Pushed the identical telemetry frame (sim_time=702.0) 5 times in a row via /api/telemetry/push. Counted non-duplicate, non-empty ai_done messages delivered on a live WebSocket listener over the following 6s: 0 (expected <=1 -- the same underlying event should not re-fire/re-display once already reported and cooled down). health after=200:200."
RT08-3,RT-08,1786204645.507,,,true,false,"Pushed the identical telemetry frame (sim_time=703.0) 5 times in a row via /api/telemetry/push. Counted non-duplicate, non-empty ai_done messages delivered on a live WebSocket listener over the following 6s: 0 (expected <=1 -- the same underlying event should not re-fire/re-display once already reported and cooled down). health after=200:200."
RT08-4,RT-08,1786204654.024,,,true,false,"Pushed the identical telemetry frame (sim_time=704.0) 5 times in a row via /api/telemetry/push. Counted non-duplicate, non-empty ai_done messages delivered on a live WebSocket listener over the following 6s: 0 (expected <=1 -- the same underlying event should not re-fire/re-display once already reported and cooled down). health after=200:200."
RT08-5,RT-08,1786204662.539,,,true,false,"Pushed the identical telemetry frame (sim_time=705.0) 5 times in a row via /api/telemetry/push. Counted non-duplicate, non-empty ai_done messages delivered on a live WebSocket listener over the following 6s: 0 (expected <=1 -- the same underlying event should not re-fire/re-display once already reported and cooled down). health after=200:200."
RT09-1,RT-09,1786204693.705,,,true,false,"Pushed 21 telemetry frames with strictly increasing lap numbers (110..130) at 0.1s intervals, each firing a lap_complete candidate. Sampled model.scheduler.queued from /api/health after every push: max observed=0 (queue cap is 16 per scheduler config) -> bounded=True. New unhandled traceback lines appended to midware log during the burst: 0. http status after burst=200."
RT09-2,RT-09,1786204696.856,,,true,false,"Pushed 21 telemetry frames with strictly increasing lap numbers (210..230) at 0.1s intervals, each firing a lap_complete candidate. Sampled model.scheduler.queued from /api/health after every push: max observed=0 (queue cap is 16 per scheduler config) -> bounded=True. New unhandled traceback lines appended to midware log during the burst: 0. http status after burst=200."
RT09-3,RT-09,1786204700.000,,,true,false,"Pushed 21 telemetry frames with strictly increasing lap numbers (310..330) at 0.1s intervals, each firing a lap_complete candidate. Sampled model.scheduler.queued from /api/health after every push: max observed=1 (queue cap is 16 per scheduler config) -> bounded=True. New unhandled traceback lines appended to midware log during the burst: 0. http status after burst=200."
RT09-4,RT-09,1786204703.138,,,true,false,"Pushed 21 telemetry frames with strictly increasing lap numbers (410..430) at 0.1s intervals, each firing a lap_complete candidate. Sampled model.scheduler.queued from /api/health after every push: max observed=0 (queue cap is 16 per scheduler config) -> bounded=True. New unhandled traceback lines appended to midware log during the burst: 0. http status after burst=200."
RT09-5,RT-09,1786204706.279,,,true,false,"Pushed 21 telemetry frames with strictly increasing lap numbers (510..530) at 0.1s intervals, each firing a lap_complete candidate. Sampled model.scheduler.queued from /api/health after every push: max observed=0 (queue cap is 16 per scheduler config) -> bounded=True. New unhandled traceback lines appended to midware log during the burst: 0. http status after burst=200."
RT12-1,RT-12,1786204760.000,1786204764.020,1786204766.066,true,false,"Disabled commentary via /api/features/enabled (kept engineer/coach/bot). POST /api/commentary/manual returned 409 (expected 409). Pushed a telemetry frame and listened on a fresh WebSocket for 3s: received a commentary ai_start/ai_done message while disabled = False (expected False). Re-enabled via /api/features/enabled (all 4 features): new commentary (ai_done from source=commentary) resumed immediately = True, no manual reset performed."
RT12-2,RT-12,1786204767.066,1786204771.074,1786204772.935,true,false,"Disabled commentary via /api/features/enabled (kept engineer/coach/bot). POST /api/commentary/manual returned 409 (expected 409). Pushed a telemetry frame and listened on a fresh WebSocket for 3s: received a commentary ai_start/ai_done message while disabled = False (expected False). Re-enabled via /api/features/enabled (all 4 features): new commentary (ai_done from source=commentary) resumed immediately = True, no manual reset performed."
RT12-3,RT-12,1786204773.935,1786204777.944,1786204782.043,true,false,"Disabled commentary via /api/features/enabled (kept engineer/coach/bot). POST /api/commentary/manual returned 409 (expected 409). Pushed a telemetry frame and listened on a fresh WebSocket for 3s: received a commentary ai_start/ai_done message while disabled = False (expected False). Re-enabled via /api/features/enabled (all 4 features): new commentary (ai_done from source=commentary) resumed immediately = True, no manual reset performed."
RT12-4,RT-12,1786204783.044,1786204787.050,1786204788.890,true,false,"Disabled commentary via /api/features/enabled (kept engineer/coach/bot). POST /api/commentary/manual returned 409 (expected 409). Pushed a telemetry frame and listened on a fresh WebSocket for 3s: received a commentary ai_start/ai_done message while disabled = False (expected False). Re-enabled via /api/features/enabled (all 4 features): new commentary (ai_done from source=commentary) resumed immediately = True, no manual reset performed."
RT12-5,RT-12,1786204789.890,1786204793.899,1786204795.800,true,false,"Disabled commentary via /api/features/enabled (kept engineer/coach/bot). POST /api/commentary/manual returned 409 (expected 409). Pushed a telemetry frame and listened on a fresh WebSocket for 3s: received a commentary ai_start/ai_done message while disabled = False (expected False). Re-enabled via /api/features/enabled (all 4 features): new commentary (ai_done from source=commentary) resumed immediately = True, no manual reset performed."
RT10-1,RT-10,1786205804.939,1786205808.238,1786205821.061,true,false,"Killed tts_server.py (SIGTERM, pid=21461) then triggered commentary. Confirmed caption (ai_done with non-empty content) still arrived = True, and no tts_audio message followed = True (caption path must not be blocked by TTS failure). Generation was slow on this run (~30-60s observed throughout this session, likely LM Studio/Kokoro GPU contention on the host, unrelated to the fault under test) -- used a 70s wait budget. Restarted tts_server.py (fresh process, no midware restart): /health reachable again=True. Next commentary trigger produced a tts_audio message=True, confirming TTS resumes without restarting midware."
RT10-2,RT-10,1786205822.063,1786205826.202,1786205835.902,true,false,"Killed tts_server.py (SIGTERM, pid=23508) then triggered commentary. Confirmed caption (ai_done with non-empty content) still arrived = True, and no tts_audio message followed = True (caption path must not be blocked by TTS failure). Generation was slow on this run (~30-60s observed throughout this session, likely LM Studio/Kokoro GPU contention on the host, unrelated to the fault under test) -- used a 70s wait budget. Restarted tts_server.py (fresh process, no midware restart): /health reachable again=True. Next commentary trigger produced a tts_audio message=True, confirming TTS resumes without restarting midware."
RT10-3,RT-10,1786205836.904,1786205841.700,1786205854.432,true,false,"Killed tts_server.py (SIGTERM, pid=23663) then triggered commentary. Confirmed caption (ai_done with non-empty content) still arrived = True, and no tts_audio message followed = True (caption path must not be blocked by TTS failure). Generation was slow on this run (~30-60s observed throughout this session, likely LM Studio/Kokoro GPU contention on the host, unrelated to the fault under test) -- used a 70s wait budget. Restarted tts_server.py (fresh process, no midware restart): /health reachable again=True. Next commentary trigger produced a tts_audio message=True, confirming TTS resumes without restarting midware."
RT10-4,RT-10,1786205855.437,1786205864.002,1786205872.864,true,false,"Killed tts_server.py (SIGTERM, pid=23766) then triggered commentary. Confirmed caption (ai_done with non-empty content) still arrived = True, and no tts_audio message followed = True (caption path must not be blocked by TTS failure). Generation was slow on this run (~30-60s observed throughout this session, likely LM Studio/Kokoro GPU contention on the host, unrelated to the fault under test) -- used a 70s wait budget. Restarted tts_server.py (fresh process, no midware restart): /health reachable again=True. Next commentary trigger produced a tts_audio message=True, confirming TTS resumes without restarting midware."
RT10-5,RT-10,1786205873.867,1786205878.083,1786205889.751,true,false,"Killed tts_server.py (SIGTERM, pid=23888) then triggered commentary. Confirmed caption (ai_done with non-empty content) still arrived = True, and no tts_audio message followed = True (caption path must not be blocked by TTS failure). Generation was slow on this run (~30-60s observed throughout this session, likely LM Studio/Kokoro GPU contention on the host, unrelated to the fault under test) -- used a 70s wait budget. Restarted tts_server.py (fresh process, no midware restart): /health reachable again=True. Next commentary trigger produced a tts_audio message=True, confirming TTS resumes without restarting midware."
